Day	VIX
12/09/2007	24.96
13/09/2007	24.76
14/09/2007	24.92
17/09/2007	26.48
18/09/2007	20.35
19/09/2007	20.03
20/09/2007	20.45
21/09/2007	19
24/09/2007	19.37
25/09/2007	18.6
26/09/2007	17.63
27/09/2007	17
28/09/2007	18
01/10/2007	17.84
02/10/2007	18.49
03/10/2007	18.8
04/10/2007	18.44
05/10/2007	16.91
08/10/2007	17.46
09/10/2007	16.12
10/10/2007	16.67
11/10/2007	18.88
12/10/2007	17.73
15/10/2007	19.25
16/10/2007	20.02
17/10/2007	18.54
18/10/2007	18.5
19/10/2007	22.96
22/10/2007	21.64
23/10/2007	20.41
24/10/2007	20.8
25/10/2007	21.17
26/10/2007	19.56
29/10/2007	19.87
30/10/2007	21.07
31/10/2007	18.53
01/11/2007	23.21
02/11/2007	23.01
05/11/2007	24.31
06/11/2007	21.39
07/11/2007	26.49
08/11/2007	26.16
09/11/2007	28.5
12/11/2007	31.09
13/11/2007	24.1
14/11/2007	25.94
15/11/2007	28.06
16/11/2007	25.49
19/11/2007	26.01
20/11/2007	24.88
21/11/2007	26.84
23/11/2007	25.61
26/11/2007	28.91
27/11/2007	26.28
28/11/2007	24.11
29/11/2007	23.97
30/11/2007	22.87
03/12/2007	23.61
04/12/2007	23.79
05/12/2007	22.53
06/12/2007	20.96
07/12/2007	20.85
10/12/2007	20.74
11/12/2007	23.59
12/12/2007	22.47
13/12/2007	22.56
14/12/2007	23.27
17/12/2007	24.52
18/12/2007	22.64
19/12/2007	21.68
20/12/2007	20.58
21/12/2007	18.47
24/12/2007	18.6
26/12/2007	18.66
27/12/2007	20.26
28/12/2007	20.74
31/12/2007	22.5
02/01/2008	23.17
03/01/2008	22.49
04/01/2008	23.94
07/01/2008	23.79
08/01/2008	25.43
09/01/2008	24.12
10/01/2008	23.45
11/01/2008	23.68
14/01/2008	22.9
15/01/2008	23.34
16/01/2008	24.38
17/01/2008	28.46
18/01/2008	27.18
22/01/2008	31.01
23/01/2008	29.02
24/01/2008	27.78
25/01/2008	29.08
28/01/2008	27.78
29/01/2008	27.32
30/01/2008	27.62
31/01/2008	26.2
01/02/2008	24.02
04/02/2008	25.99
05/02/2008	28.24
06/02/2008	28.97
07/02/2008	27.66
08/02/2008	28.01
11/02/2008	27.6
12/02/2008	26.33
13/02/2008	24.88
14/02/2008	25.54
15/02/2008	25.02
19/02/2008	25.59
20/02/2008	24.4
21/02/2008	25.12
22/02/2008	24.06
25/02/2008	23.03
26/02/2008	21.9
27/02/2008	22.69
28/02/2008	23.53
29/02/2008	26.54
03/03/2008	26.28
04/03/2008	25.52
05/03/2008	24.6
06/03/2008	27.55
07/03/2008	27.49
10/03/2008	29.38
11/03/2008	26.36
12/03/2008	27.22
13/03/2008	27.29
14/03/2008	31.16
17/03/2008	32.24
18/03/2008	25.79
19/03/2008	29.84
20/03/2008	26.62
24/03/2008	25.73
25/03/2008	25.72
26/03/2008	26.08
27/03/2008	25.88
28/03/2008	25.71
31/03/2008	25.61
01/04/2008	22.68
02/04/2008	23.43
03/04/2008	23.21
04/04/2008	22.45
07/04/2008	22.42
08/04/2008	22.36
09/04/2008	22.81
10/04/2008	21.98
11/04/2008	23.46
14/04/2008	23.82
15/04/2008	22.78
16/04/2008	20.53
17/04/2008	20.37
18/04/2008	20.13
21/04/2008	20.5
22/04/2008	20.87
23/04/2008	20.26
24/04/2008	20.06
25/04/2008	19.59
28/04/2008	19.64
29/04/2008	20.24
30/04/2008	20.79
01/05/2008	18.88
02/05/2008	18.18
05/05/2008	18.9
06/05/2008	18.21
07/05/2008	19.73
08/05/2008	19.4
09/05/2008	19.41
12/05/2008	17.79
13/05/2008	17.98
14/05/2008	17.66
